country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Armenia,58.7,61.4,53.3,48.9,51.4,54.5,38.5,37.9,43.8,47.17,45.88
Iceland,16,8.5,5.1,6.3,9.8,8.6,5.6,7.1,10.2,8.11,7.69
Finland,12.9,16,17.1,23.6,15.4,19.4,7.6,15,14.5,11.86,7.72
Thailand,12.9,17,19.8,16.4,13.5,11.4,10.2,11.1,10.2,12.35,17.82
Uzbekistan,60.1,70.9,61.1,41.1,46.8,50.2,40.4,44.3,52.1,49.59,57.09
Tajikistan,31.2,30.1,32.4,23.8,31.4,30.3,42.6,53.7,49,44.44,55.24
Indonesia,,40.2,37,25,16.4,14.2,12.1,8,8.3,8.71,11.19
Kyrgyzstan,29.4,29.8,32.1,32.8,17.5,18,26.4,24.9,43.2,55.75,51.68
Equatorial Guinea,17.2,23.8,11.1,8.2,12.2,6.6,10,16.2,17.8,19.3,17.75
Belize,21.7,26.9,25.4,21.4,33.4,36.8,22.7,19.7,16.4,30.47,35.21
Lebanon,26.9,24.7,27.9,18.6,22.4,20.9,18.1,15.1,16.1,27.1,25.41
Serbia and montenegro,24.3,24.3,17.1,12,14.7,16.2,39.7,100,100,,
Montenegro,,,25.6,27.5,36.6,39,31.4,32.6,28,31.26,28.69
Iraq,56.1,44.6,46.3,31.8,42.2,27.3,32.8,39.2,41.4,52.82,51.71
Eritrea,49,49,51.1,48.2,52.6,46.2,39.2,40.5,41.7,55.67,50.49
Togo,57.5,47.5,51.7,42.6,42.1,35.8,37.7,44,35.6,43.42,54.39
Mali,42.7,55.7,48.1,52.8,55.7,51,54.7,47.7,54,52.77,57.58
Israel,4.2,2.5,3,5.1,6.4,6.9,5.4,8.6,8.2,3.85,4.09
Albania,54.5,49.5,38.7,39.6,37.7,42.3,40.5,40.4,39.8,36.82,35.95
"Congo, Rep. of the (Brazzaville)",29,31.6,33.2,33,34.4,25.2,30.7,27.5,35.4,40.77,46.55
Ecuador,35.5,28.1,40,36,27.1,23,18.5,16.9,20.8,31.34,29.18
Slovenia,4.4,7,6.7,7.8,28.5,14.4,23.4,12.1,7,10.56,10.43
Haiti,32.7,44.2,54.4,61.4,49,58.2,54,47.1,58.2,60.45,64.52
Estonia,7.1,4,3.9,6.2,29.3,21.9,14.9,13.6,16.4,13.53,20.74
Cameroon,45.8,42.5,46.7,48.3,40.5,40.6,41.1,37.3,28.2,29.89,36.84
Guinea,52.9,58.3,63.8,67.8,66,60.6,54.2,52.5,47.8,59.81,63.53
Botswana,16.9,15.6,15.6,16.8,13.9,11,12.5,17.3,16.9,16.67,18.97
Papua New Guinea,9,12.2,3.4,5.7,3.7,5,2.95,3.1,7.4,5.14,10.56
Cuba,61.3,53.1,45.2,31.3,20.5,33,38.7,61.1,66.2,76.03,81.85
Central African Republic,34.3,28.9,39.6,45,48.3,47.4,32.2,46.4,46.6,32.43,35.12
Algeria,20.2,22.7,20.3,20.5,21.9,29.2,24.2,28.3,23.1,25.92,36
Turkey,15.4,15,11.2,9,9.1,7,8.1,10.3,7.1,13.88,13.62
Ethiopia,43.1,46,46.7,50.6,49.1,41.7,39.7,35.6,44.9,48.32,38.13
Italy,2.4,7.1,9.3,11.1,16.1,18.3,13.3,15.2,22.9,22.1,10.86
Macau S.A.R.,8,9.6,14.2,16.4,12,8.9,2.3,3.1,,9.3,7.71
"Bahamas, The",5,5.2,5.9,8.3,8.2,13.7,12.9,11.6,9.2,7.4,9.35
Bhutan,57,43.7,48.3,68.1,64.1,60.7,52.2,42,43.6,54.55,69.78
Romania,34.1,37.7,25,26.3,24.8,22.4,17,11.5,9.8,11.16,11.43
Nigeria,54,32.3,36,37.3,33.7,38,33.6,35.1,33.2,32.56,41.44
Uganda,43.3,42.8,34.4,38.8,36.3,37.3,33.2,32.7,37.2,30.63,41.53
Turkmenistan,48.7,49.2,45.4,19.8,20.6,24.3,17.7,16.3,18.6,25.41,32.95
Azerbaijan,22.2,15.4,14,11.5,13.5,12.9,11.4,9.4,13.5,12.93,14.83
Mexico,9.7,32.5,11.4,10.92,11.1,12.8,10.6,12.1,15.6,20.17,23.49
Lithuania,27.7,12.9,9,17.6,31.9,34.7,34,33.1,37.7,33.49,22.36
Bulgaria,17.5,14.3,13.3,17.8,17.2,15.7,18,19.9,15.2,17.26,16.86
